Tweet Id,Text,Name,Screen Name,UTC,Created At,Favorites,Retweets,Language,Client,Tweet Type,Media Type,Media URLs,URLs,Hashtags,Mentions
1262505839140667393,"RT @Carolinatovar_2 : Van 8 días y los niños,  hijos de las internas del P. de Chorrillos siguen esperando una acción inmediata de las autoridades. Ya hay infectados por el virus!! Qué va a pasar, si hay muertes?..@MartinVizcarraC @pcmperu @MinjusDH_Peru @Defensoria_Peru @Josefina_28 @eherreravelarde",Rosa María Palacios,rmapalacios,2020-05-18T22:10:22.000Z,Mon May 18 22:10:22 +0000 2020,0,0,es,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",Retweet,,,0,0,6
1262505794114916357,"RT @ScheuchMartin : Una sociedad que no respete la dignidad humana de los presos ni su derecho a la salud y a la vida termina deshumanizándose y perdiendo el respeto a la dignidad humana de la mayoría de sus miembros. Lamentablemente, eso pasa en el Perú, un país con altos niveles de discriminación.",Rosa María Palacios,rmapalacios,2020-05-18T22:10:12.000Z,Mon May 18 22:10:12 +0000 2020,0,0,es,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",Retweet,,,0,0,0
1262503162914713600,Interesante https://t.co/z7mfF5W9fj,Rosa María Palacios,rmapalacios,2020-05-18T21:59:44.000Z,Mon May 18 21:59:44 +0000 2020,43,5,es,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",Tweet,,,1,0,0
1262502778800410624,"RT @monvalpa : Ayer decíamos, ¡fuerza Jaguar!, hoy también decimos, ¡fuerza Pold! Qué estos dos buenos actores y todos los demás afectados por esta terrible enfermedad logren recuperarse. Las mejores vibras. https://t.co/hwDOoqbNnz",Rosa María Palacios,rmapalacios,2020-05-18T21:58:13.000Z,Mon May 18 21:58:13 +0000 2020,0,0,es,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",Retweet,,,1,0,0
1262501406952566784,"¿Ven?
¿Ustedes creían que salian el próximo lunes? https://t.co/54SFbl78UK",Rosa María Palacios,rmapalacios,2020-05-18T21:52:46.000Z,Mon May 18 21:52:46 +0000 2020,586,114,es,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",Tweet,,,1,0,0
1262486967801065473,Alguien le explica? https://t.co/Y56esjSKBX,Rosa María Palacios,rmapalacios,2020-05-18T20:55:23.000Z,Mon May 18 20:55:23 +0000 2020,34,6,es,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>",Tweet,,,1,0,0
1262486292715143176,Rt https://t.co/3e6G0bW2ex,Rosa María Palacios,rmapalacios,2020-05-18T20:52:42.000Z,Mon May 18 20:52:42 +0000 2020,32,38,und,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>",Tweet,,,1,0,0
1262485838870560771,Es un laudo arbitral. Inapelable. https://t.co/7C2HpQxRLZ,Rosa María Palacios,rmapalacios,2020-05-18T20:50:54.000Z,Mon May 18 20:50:54 +0000 2020,29,3,es,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>",Tweet,,,1,0,0
1262485291102883840,No funciona así. Tampoco se le podrá cobrar al Congreso la barbaridad que ha hecho. Usted y yo y todos los peruanos pagaremos la cuenta por haberlos elegido. Este es el costo de elegir mal. https://t.co/joK60WpapI,Rosa María Palacios,rmapalacios,2020-05-18T20:48:43.000Z,Mon May 18 20:48:43 +0000 2020,143,34,es,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>",Tweet,,,1,0,0
1262484762444337160,"Me encantaría poder ayudarlos y entiendo su desesperación. Pero a estas alturas asuman que los han abandonado. No hay una línea, nada de información sobre que pasará con ustedes. No hay respuesta. Al principio fue por falta de lugares para cuarentena. Hoy no hay ni excusas. https://t.co/2qlhIlv6a5",Rosa María Palacios,rmapalacios,2020-05-18T20:46:37.000Z,Mon May 18 20:46:37 +0000 2020,45,12,es,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>",Tweet,,,1,0,0
